Ra, Dec
296.81772,46.781509
290.41327,38.34375
290.41327,38.34375
290.41327,38.34375
293.22391,38.033581
296.98102,43.209751000000004
287.58679,47.600021000000005
281.55118,47.469959
296.23215,47.678959000000006
297.10348999999997,47.643570000000004
290.91119,38.335578999999996
281.66916000000003,42.038639
295.26682,38.61124
287.61633,39.127239
289.09323,49.424484
286.0192,48.866741
295.09866,41.007038
298.13589,41.332062
293.28799,41.560455
298.77325,41.214729
292.61194,43.305141
291.65317000000005,44.688271
291.17068,38.008590999999996
294.52557,38.204632000000004
292.7131,38.358212
292.7131,38.358212
289.7962,38.351181
286.49042000000003,38.374908000000005
292.77588,47.461689
295.79526,47.663959999999996
296.82162,47.354031
295.92065,47.448608
292.0683,38.84227
282.00031,48.542221000000005
297.31006,49.703041
282.00031,48.542221000000005
295.80267000000003,45.988079
287.36182,38.714016
290.94437,38.538868
298.9917,41.074989
291.82181,41.11269
296.86099,41.09734
294.16321,41.451801
299.39972,45.316051
286.49042000000003,38.374908000000005
286.49042000000003,38.374908000000005
291.6069,38.348061
287.44409,38.088428
292.27905,38.284531
292.37476000000004,37.630959000000004
292.07849,38.631481
296.13391,38.999008
293.92599,38.73798
286.86926,39.103729
291.99987999999996,38.437698
292.71963999999997,48.852016
284.02679,49.415428000000006
298.80411000000004,40.843563
295.59872,50.720669
283.73642,44.71331
291.76196,37.09864
295.58657999999997,45.364979
290.51047,41.244820000000004
290.51047,41.244820000000004
290.51047,41.244820000000004
290.51047,41.244820000000004
290.60794,41.201091999999996
289.7767,38.26228
291.97617,38.05508
291.97617,38.05508
290.13492,38.404221
291.42357999999996,38.216590999999994
295.29193,38.964588
291.44507000000004,38.637211
285.08026,39.182109999999994
291.47629,38.50058
294.74054,39.015511
300.51712000000003,44.38158
289.87411000000003,49.68549
291.0488,36.839882
298.44775,47.264998999999996
291.92596000000003,38.014117999999996
291.92596000000003,38.014117999999996
291.65317000000005,44.688271
288.68259,41.307320000000004
288.44287,41.17218
293.2735,41.257690000000004
298.13794,41.334358
286.49072,37.489979
290.88467,38.057571
291.03192,38.21196
291.65097000000003,38.028178999999994
294.49011,38.194126000000004
287.88812,39.078709
293.80441,38.63913
293.80441,38.63913
293.80441,38.63913
300.51712000000003,44.38158
295.57416,42.806438
291.36478,37.609169
291.36478,37.609169
296.38229,48.045311
296.38229,48.045311
285.24084,46.668251
292.26181,41.442554
296.68045,41.386520000000004
293.08463,41.135441
293.08463,41.135441
293.08463,41.135441
294.49011,38.194126000000004
297.75708,41.680454
290.35294,41.769740999999996
298.71152,41.635791999999995
292.23679,41.7393
296.29855,41.602717999999996
293.74393,38.939281
294.65121,38.636459
292.57703,39.12088
291.69247,38.572899
300.51712000000003,44.38158
293.56815,39.03632
296.38229,48.045311
293.47362999999996,46.970402
296.49612,47.182860999999995
291.49942000000004,37.05928
290.72867,37.252651
293.08463,41.135441
299.15353,40.286961
290.1315,41.3815
297.98123,41.44487
299.0209,44.17276
285.06335,44.167885
294.1434,39.089779
299.13922,40.949020000000004
294.02725,41.675968
297.75311,41.675990999999996
290.21518,41.77597
291.07126,38.999039
294.07071,38.981331
295.94055,38.876389
294.61893,38.611889
293.87363,38.922482
291.03217,38.703911
290.72867,37.252651
291.14249,37.061321
293.71075,38.983608000000004
293.67657,38.991378999999995
290.77862999999996,37.564079
289.87347,43.203838
295.03925,44.191059
299.78632000000005,44.169540000000005
296.30942000000005,44.165741
300.867,44.14529
287.5932,44.17942
290.21518,41.77597
290.21518,41.77597
291.43329,41.703441999999995
287.27263999999997,41.635559
282.60336,44.28698
301.01672,44.233841
292.92276,38.47728
292.35287,38.942471000000005
292.47971,38.514919
292.47971,38.514919
292.47971,38.514919
292.47971,38.514919
291.38268999999997,37.072990000000004
292.46976,37.567791
292.46976,37.567791
291.07446,37.744389
292.04462,37.37624
287.5932,44.17942
288.0383,50.651610999999995
294.48438,44.166908
294.48438,44.166908
294.48438,44.166908
294.99734,44.321388
299.13922,40.949020000000004
284.51962000000003,44.453941
284.51962000000003,44.453941
301.40067,44.318039
298.21188,44.324638
293.56815,39.03632
293.56815,39.03632
290.0004,38.53989
295.97516,38.94664
293.95459,38.899971
292.04462,37.37624
290.68225,37.355109999999996
290.32791000000003,37.726742
292.89935,37.656059
288.4165,41.0298
295.51108,44.109261
290.5036,44.143581
300.32898,44.151119
291.27563,47.329491
299.70078,47.291752
297.39066,47.255711
284.99737999999996,44.410198
296.29196,44.33226
301.47577,44.319759000000005
282.72406,44.346470000000004
287.47742,44.237511
290.25357,37.759418
296.30762000000004,44.211459999999995
297.31597999999997,46.023258
297.00943,50.372318
297.31597999999997,46.023258
297.31597999999997,46.023258
284.68887,46.172249
298.07944,44.746319
299.65094,40.973282
292.26291000000003,37.236992
291.69672,37.238040999999996
291.15337999999997,36.678841
291.35402999999997,36.784519
289.71466000000004,47.342220000000005
291.14807,40.669399
299.83041000000003,47.157459
299.83041000000003,47.157459
299.83041000000003,47.157459
296.33435,47.145579999999995
299.13922,40.949020000000004
292.85965,44.200641999999995
296.54861,44.264671
285.62854,44.31089
291.89075,44.223728
285.39133,46.180939
294.79974,46.207569
297.9516,46.264721
297.9516,46.264721
296.65915,46.382172
297.62027,40.943089
300.45575,43.934349
293.38556,41.349819000000004
299.89722,43.903912
289.09689,44.004379
297.78802,47.10107
294.76855,47.13279
292.14447,47.157348999999996
292.14447,47.157348999999996
292.14447,47.157348999999996
282.2001,44.422298
282.2001,44.422298
284.38562,44.391289
281.76639,44.292549
283.00296000000003,44.284228999999996
283.00296000000003,44.284228999999996
291.86285,46.42926
287.56967000000003,46.567859999999996
297.36032,40.429809999999996
290.06799,46.57914
292.65704,46.537338
294.06847999999997,46.57933
298.07944,44.746319
289.09689,44.004379
295.4722,44.077381
294.84384,44.077678999999996
297.49332000000004,44.051868
296.48187,44.009151
297.39319,47.164631
290.10332999999997,39.781631
294.59612999999996,47.197449
281.05011,47.188148
283.1846,47.15567
293.24384,38.273270000000004
286.6301,38.945599
296.69562,47.327309
296.32027999999997,47.40657
299.10281000000003,47.377781
292.83301,47.495529
281.5238,47.755340999999994
294.06847999999997,46.57933
297.84241000000003,46.574268
297.84241000000003,46.574268
297.84241000000003,46.574268
297.84241000000003,46.574268
297.84241000000003,46.574268
292.93085,37.606640000000006
287.13388,37.839259999999996
292.26813,37.955639
291.85382000000004,37.74192
291.90326,37.90229
298.07944,44.746319
294.4335,38.35545
294.4335,38.35545
290.862,38.35358
286.00031,38.284599
293.02512,37.992641
292.84213,47.483829
296.69971,47.406731
297.01482999999996,47.486431
287.65362999999996,47.414809999999996
299.12753,47.59383
286.48227,46.692451
286.97119,46.868359000000005
299.09753,43.497589000000005
288.21193999999997,46.615002000000004
288.21193999999997,46.615002000000004
291.10846000000004,37.857791999999996
292.73627,37.560340999999994
292.29098999999997,37.580799
291.13849,37.859299
293.25412,37.846191
296.52429,39.249759999999995
292.58304,38.374378
293.18453999999997,37.969840999999995
287.61688,38.402321
290.18304,38.321940999999995
290.89407,38.435032
296.98102,43.209751000000004
299.12753,47.59383
299.12753,47.59383
288.86823,47.75943
291.30222000000003,47.697762
289.4317,46.617531
283.86602999999997,46.789589
282.35323999999997,43.335128999999995
291.25449,36.74361
287.55972,46.957085
295.47067000000004,44.010738
291.97754,37.532551
297.82956,41.141949
292.76434,41.27528
297.52545,41.261841
291.98337000000004,41.555111
295.94092,44.57835
292.85607999999996,38.37257
291.57916,38.035831
289.76482999999996,38.35236
294.11566,38.393478
290.41327,38.34375
291.30222000000003,47.697762
292.73892,47.49073
291.06293,47.484798
291.06293,47.484798
296.13141,47.43882
297.13327000000004,47.628769
292.21906,44.61916
292.21906,44.61916
294.41245,45.130852000000004
288.49948,47.996471
290.11569,38.40419
295.16049,41.0793
298.47424,41.07589
297.52862999999996,41.259910999999995
298.33893,41.073479
298.20035,41.011688
286.41,42.681549
286.41,42.681549
286.41,42.681549
295.3045,42.475288
281.60541,42.390419
283.20917000000003,48.777640999999996
283.20917000000003,48.777640999999996
287.85773,48.774109
290.95755,49.203812
292.3515,48.511082
294.21893,49.479221
292.17859,42.005909
292.17859,42.005909
291.3905,42.180592
291.3905,42.180592
293.75836,41.871868
293.75836,41.871868
291.3909,48.065609
291.3909,48.065609
290.67615,48.294289
290.67615,48.294289
290.67615,48.294289
295.16382000000004,43.963039
287.91635,42.437302
287.91635,42.437302
295.76614,42.424278
295.76614,42.424278
283.03979,48.825359000000006
283.03979,48.825359000000006
283.03979,48.825359000000006
287.02227999999997,48.681938
283.20697,48.580502
292.22839,42.03537
287.14943999999997,42.105209
292.3215,43.881168
292.23724,42.154289
292.47821,42.142288
290.67615,48.294289
290.92746,48.44355
290.92746,48.44355
297.11511,41.909141999999996
285.42429,47.83461
295.76614,42.424278
295.76614,42.424278
295.76614,42.424278
281.43735,42.725269
286.35806,42.406509
283.20697,48.580502
283.20697,48.580502
283.20697,48.580502
287.05701,49.046021
283.50479,49.451019
291.42755,41.878159000000004
283.46991,45.052459999999996
289.40573,44.516940999999996
291.90237,44.683731
290.26767,44.712849
288.70087,44.707679999999996
288.85528999999997,48.208542
285.66269,48.435371
283.53296,48.094260999999996
284.91049,48.431641
286.66568,48.144581
286.35806,42.406509
299.40701,44.035053000000005
288.0676,42.35537
286.88727,42.47126
290.20236,42.955890999999994
284.45691,41.56131
295.2887,48.59972
295.2887,48.59972
283.98297,49.23299
283.98297,49.23299
284.28253,44.987228
301.35507,44.492271
294.12143,48.349522
299.07388,44.431678999999995
291.44522,44.528690000000005
301.04239,45.022888
285.2211,47.881378000000005
295.29385,48.374802
290.55237,48.126263
290.55237,48.126263
297.11511,41.909141999999996
294.77393,39.333839000000005
