Run,Camcol,Field,RA,Dec
6177,6,12,285.23555,40.83855
6177,1,23,286.12968,38.26176
6177,1,24,286.30448,38.20209
6177,2,24,286.51889,38.58676
6177,3,25,286.91158,38.91015
6177,4,25,287.13159,39.29354
6177,5,25,287.35394,39.67638
6177,3,27,287.26275,38.78819
4127,3,28,300.04729,40.49594
6177,1,28,287.00074,37.96078
6177,2,29,287.39228,38.28284
6177,6,29,288.28906,39.81009
6177,2,31,287.73956,38.15944
6177,3,32,288.13540,38.47870
6177,6,33,288.99417,39.55692
6177,5,34,288.93805,39.11332
6177,5,35,289.11249,39.04947
6177,6,37,289.69417,39.29963
6177,4,40,289.74682,38.34858
6177,5,40,289.98004,38.72639
6177,3,44,290.19897,37.70991
6177,6,45,291.07891,38.77298
6177,6,46,291.25057,38.70604
6177,4,47,290.94361,37.88818
6177,6,47,291.42191,38.63885
6177,6,48,291.59294,38.57142
6177,5,49,291.52193,38.12920
6177,5,50,291.69170,38.06163
6177,4,51,291.62075,37.61974
6177,6,52,292.27389,38.29930
6177,6,53,292.44333,38.23068
6177,4,54,292.12540,37.41590
6177,6,54,292.61246,38.16181
6177,6,57,293.11797,37.95382
5416,6,140,281.71406,41.89140
5416,6,147,283.02403,41.51548
5416,6,148,283.20993,41.46060
5416,5,149,283.18986,41.01515
5403,5,150,283.29864,40.75778
5403,6,151,283.68859,41.09225
5403,5,152,283.66551,40.64688
5416,5,152,283.74206,40.84886
5416,3,154,283.69575,39.95857
5416,4,154,283.90106,40.34782
5416,5,155,284.29150,40.68000
5416,3,158,284.41838,39.73316
5403,2,161,284.67103,38.97264
5403,3,161,284.87867,39.36000
5416,5,161,285.38204,40.33465
5416,6,161,285.59815,40.72100
5403,3,164,285.41351,39.18589
5416,2,164,285.28224,39.00047
5403,2,165,285.38030,38.74125
5416,4,165,285.88602,39.71369
5403,5,166,286.19937,39.83897
5403,5,167,286.37805,39.77919
5403,6,167,286.59793,40.16372
5403,3,168,286.12247,38.94995
5403,5,168,286.55643,39.71914
5416,4,169,286.59867,39.47487
5403,4,170,286.69255,39.21457
5416,4,171,286.95316,39.35384
5403,1,172,286.39613,37.94143
5403,2,172,286.61029,38.32592
5403,5,172,287.26684,39.47627
5403,2,173,286.78483,38.26553
5403,5,176,287.97229,39.22916
5416,4,177,288.00927,38.98441
5403,3,178,287.87400,38.34146
5403,3,179,288.04751,38.27918
5403,5,187,289.88670,38.52829
5403,5,188,290.05888,38.46306
5403,4,190,290.16819,37.95487
5403,6,191,290.81089,38.64232
5403,5,192,290.74450,38.19965
5403,6,192,290.98249,38.57576
5403,4,193,290.67904,37.75722
5403,5,194,291.08545,38.06648
5403,6,195,291.49539,38.37462
5403,3,196,290.95142,37.18183
5403,5,196,291.42517,37.93234
5403,5,198,291.76365,37.79724
5416,3,198,291.38048,37.24454
5403,5,199,291.93243,37.72933
5403,6,200,292.34396,38.03458
5403,5,201,292.26907,37.59281
5403,6,201,292.51274,37.96586
