Run,Camcol,Field,RA,Dec
6177,1,22,285.95460,38.32116
6177,1,24,286.30448,38.20209
6177,2,25,286.69416,38.52651
6177,3,25,286.91158,38.91015
6177,4,25,287.13159,39.29354
4127,3,27,299.85162,40.47963
4127,4,27,299.79064,40.89677
6177,2,28,287.21819,38.34415
6177,1,29,287.17408,37.89979
6177,6,35,289.34481,39.42878
6177,6,37,289.69417,39.29963
6177,6,38,289.86838,39.23467
6177,4,40,289.74682,38.34858
6177,5,43,290.49681,38.52953
6177,3,44,290.19897,37.70991
6177,5,44,290.66844,38.46342
6177,6,45,291.07891,38.77298
6177,4,46,290.77356,37.95468
6177,5,46,291.01077,38.33046
6177,6,46,291.25057,38.70604
6177,2,48,290.64358,37.06970
6177,3,48,290.87717,37.44572
6177,4,49,291.28279,37.75443
6177,6,50,291.93405,38.43584
6177,2,51,291.14716,36.87002
6177,5,52,292.03029,37.92578
6177,6,52,292.27389,38.29930
6177,3,53,291.71816,37.11006
6177,5,53,292.19913,37.85749
6177,6,53,292.44333,38.23068
6177,4,55,292.29300,37.34748
6177,5,56,292.70376,37.65122
6177,6,57,293.11797,37.95382
6177,5,58,293.03864,37.51255
6177,6,59,293.45340,37.81400
5403,6,145,282.57706,41.42168
5403,6,149,283.31931,41.20322
5416,4,149,282.98670,40.62479
5403,6,151,283.68859,41.09225
5416,5,152,283.74206,40.84886
5416,5,155,284.29150,40.68000
5416,3,156,284.05766,39.84643
5403,3,160,284.69980,39.41748
5416,2,160,284.57005,39.23125
5403,3,162,285.05725,39.30224
5403,2,163,285.02625,38.85749
5416,4,165,285.88602,39.71369
5416,4,166,286.06464,39.65439
5403,1,168,285.69813,38.17907
5403,2,168,285.90919,38.56486
5403,4,168,286.33830,39.33481
5416,5,168,286.64021,39.91915
5416,2,169,286.16586,38.70587
5416,4,169,286.59867,39.47487
5403,1,170,286.04770,38.06078
5403,3,170,286.47516,38.83037
5403,5,175,287.79639,39.29133
5403,4,176,287.74803,38.84748
5403,4,179,288.27166,38.66041
5403,6,180,288.90252,39.35805
5403,4,181,288.61923,38.53441
5403,6,182,289.25233,39.23019
5403,5,187,289.88670,38.52829
5403,5,188,290.05888,38.46306
5403,4,190,290.16819,37.95487
5403,5,190,290.40231,38.33185
5403,4,191,290.33878,37.88923
5403,3,192,290.27592,37.44645
5403,6,192,290.98249,38.57576
5403,3,193,290.44524,37.38066
5403,4,194,290.84871,37.69085
5403,4,195,291.01808,37.62424
5403,6,195,291.49539,38.37462
5403,5,197,291.59456,37.86491
5403,3,198,291.28738,37.04808
5403,4,198,291.52437,37.42296
5403,6,198,292.00547,38.17131
5403,3,200,291.62215,36.91337
5403,4,200,291.86039,37.28758
5403,5,200,292.10090,37.66119
5403,5,202,292.43693,37.52419
5403,6,202,292.68120,37.89690
5403,5,203,292.60448,37.45534
