Run,Camcol,Field,RA,Dec
6177,1,22,285.95460,38.32116
6177,5,24,287.17636,39.73763
6177,4,25,287.13159,39.29354
6177,5,25,287.35394,39.67638
6177,3,27,287.26275,38.78819
6177,2,28,287.21819,38.34415
6177,2,30,287.56606,38.22127
6177,6,32,288.81837,39.62060
6177,5,34,288.93805,39.11332
6177,5,35,289.11249,39.04947
6177,4,40,289.74682,38.34858
6177,6,43,290.73463,38.90613
6177,3,44,290.19897,37.70991
6177,6,46,291.25057,38.70604
6177,4,47,290.94361,37.88818
6177,6,47,291.42191,38.63885
6177,5,48,291.35186,38.19653
6177,6,48,291.59294,38.57142
6177,4,49,291.28279,37.75443
6177,5,49,291.52193,38.12920
6177,4,50,291.45192,37.68720
6177,5,50,291.69170,38.06163
6177,5,56,292.70376,37.65122
6177,6,57,293.11797,37.95382
6177,6,59,293.45340,37.81400
5416,6,148,283.20993,41.46060
5416,4,149,282.98670,40.62479
5416,6,149,283.39552,41.40543
5416,5,153,283.92552,40.79286
5403,5,154,284.03116,40.53482
5416,4,155,284.08303,40.29157
5416,5,155,284.29150,40.68000
5403,6,156,284.60635,40.80979
5416,5,156,284.47403,40.62314
5416,4,157,284.44605,40.17822
5403,4,158,284.54885,39.91972
5416,2,160,284.57005,39.23125
5403,2,161,284.67103,38.97264
5416,3,163,285.31496,39.44514
5403,2,164,285.20342,38.79950
5416,1,166,285.42607,38.49716
5416,3,166,285.84932,39.26904
5416,1,167,285.60200,38.43856
5416,2,167,285.81330,38.82452
5403,1,168,285.69813,38.17907
5403,2,168,285.90919,38.56486
5403,3,168,286.12247,38.94995
5416,4,169,286.59867,39.47487
5403,4,170,286.69255,39.21457
5403,2,173,286.78483,38.26553
5403,2,174,286.95908,38.20487
5403,3,174,287.17697,38.58801
5403,5,174,287.62018,39.35324
5403,5,175,287.79639,39.29133
5416,4,177,288.00927,38.98441
5403,4,178,288.09742,38.72303
5403,6,179,288.72713,39.42159
5403,5,188,290.05888,38.46306
5403,6,188,290.29421,38.84052
5403,5,189,290.23075,38.39757
5403,6,189,290.46675,38.77470
5403,5,190,290.40231,38.33185
5403,6,190,290.63898,38.70864
5403,4,192,290.50906,37.82334
5403,3,194,290.61427,37.31462
5403,6,194,291.32474,38.44191
5403,6,195,291.49539,38.37462
5403,3,196,290.95142,37.18183
5403,5,199,291.93243,37.72933
5403,5,200,292.10090,37.66119
5403,6,200,292.34396,38.03458
5403,6,202,292.68120,37.89690
