Run,Camcol,Field,RA,Dec
6177,1,23,286.12968,38.26176
6177,5,24,287.17636,39.73763
6177,4,25,287.13159,39.29354
4127,3,27,299.85162,40.47963
4127,4,27,299.79064,40.89677
4127,3,28,300.04729,40.49594
6177,2,28,287.21819,38.34415
6177,2,29,287.39228,38.28284
6177,6,29,288.28906,39.81009
6177,3,30,287.78725,38.60327
6177,6,30,288.46582,39.74719
6177,6,36,289.51965,39.36433
6177,6,37,289.69417,39.29963
6177,6,38,289.86838,39.23467
6177,4,40,289.74682,38.34858
6177,4,42,290.09030,38.21827
6177,3,43,290.02866,37.77535
6177,3,44,290.19897,37.70991
6177,4,47,290.94361,37.88818
6177,4,48,291.11335,37.82142
6177,2,50,290.97960,36.93682
6177,5,50,291.69170,38.06163
6177,6,50,291.93405,38.43584
6177,4,52,291.78927,37.55202
6177,6,52,292.27389,38.29930
6177,3,53,291.71816,37.11006
6177,5,56,292.70376,37.65122
6177,6,57,293.11797,37.95382
6177,5,58,293.03864,37.51255
5403,6,145,282.57706,41.42168
5416,6,145,282.65130,41.62436
5416,5,149,283.18986,41.01515
5416,6,149,283.39552,41.40543
5403,6,151,283.68859,41.09225
5416,5,151,283.55830,40.90458
5403,4,152,283.46074,40.25734
5416,6,153,284.13476,41.18184
5403,3,156,283.98137,39.64464
5416,4,156,284.26469,40.23504
5416,5,156,284.47403,40.62314
5416,6,156,284.68589,41.01114
5416,5,157,284.65625,40.56600
5403,5,159,284.93995,40.24975
5403,4,163,285.44735,39.63069
5416,4,164,285.70709,39.77272
5403,3,165,285.59119,39.12732
5403,6,165,286.23864,40.28366
5416,3,166,285.84932,39.26904
5416,1,167,285.60200,38.43856
5416,6,167,286.68241,40.36369
5403,4,168,286.33830,39.33481
5416,3,168,286.20406,39.15028
5416,4,169,286.59867,39.47487
5416,5,169,286.81870,39.85871
5416,6,169,287.04129,40.24240
5403,4,171,286.86923,39.15405
5416,4,173,287.30643,39.23175
5403,2,174,286.95908,38.20487
5403,5,175,287.79639,39.29133
5403,2,177,287.48007,38.02133
5403,6,178,288.55144,39.48488
5403,6,179,288.72713,39.42159
5403,6,183,289.42677,39.16588
5403,5,188,290.05888,38.46306
5403,4,191,290.33878,37.88923
5403,3,194,290.61427,37.31462
5403,6,194,291.32474,38.44191
5403,3,195,290.78299,37.24835
5403,4,195,291.01808,37.62424
5403,5,196,291.42517,37.93234
5403,6,196,291.66573,38.30709
5403,4,197,291.35591,37.49029
5403,5,197,291.59456,37.86491
5403,3,199,291.45492,36.98084
5403,5,199,291.93243,37.72933
5403,5,200,292.10090,37.66119
5403,5,201,292.26907,37.59281
5403,6,202,292.68120,37.89690
5403,5,203,292.60448,37.45534
5403,6,203,292.84935,37.82771
5403,6,204,293.01719,37.75829
