Run,Camcol,Field,RA,Dec
6177,2,24,286.51889,38.58676
6177,5,25,287.35394,39.67638
6177,6,43,290.73463,38.90613
6177,3,44,290.19897,37.70991
6177,4,44,290.43254,38.08697
6177,6,45,291.07891,38.77298
6177,6,46,291.25057,38.70604
6177,6,47,291.42191,38.63885
6177,6,56,292.94978,38.02339
5416,6,147,283.02403,41.51548
5403,5,148,282.93055,40.86754
5416,5,155,284.29150,40.68000
5403,4,164,285.62614,39.57206
5403,6,165,286.23864,40.28366
5416,2,168,285.98973,38.76533
5416,5,168,286.64021,39.91915
5403,4,175,287.57288,38.90932
5403,2,177,287.48007,38.02133
5403,4,178,288.09742,38.72303
5403,6,180,288.90252,39.35805
5403,3,192,290.27592,37.44645
5403,6,194,291.32474,38.44191
5403,5,196,291.42517,37.93234
