Run,Camcol,Field,RA,Dec
6177,1,22,285.95460,38.32116
6177,2,24,286.51889,38.58676
6177,3,25,286.91158,38.91015
6177,5,25,287.35394,39.67638
6177,1,26,286.65319,38.08196
4127,4,27,299.79064,40.89677
6177,3,27,287.26275,38.78819
6177,5,27,287.70815,39.55309
6177,6,29,288.28906,39.81009
6177,6,33,288.99417,39.55692
6177,6,34,289.16965,39.49298
6177,6,37,289.69417,39.29963
6177,4,40,289.74682,38.34858
6177,4,43,290.26157,38.15274
6177,3,44,290.19897,37.70991
6177,6,45,291.07891,38.77298
6177,4,47,290.94361,37.88818
6177,5,47,291.18147,38.26362
6177,6,47,291.42191,38.63885
6177,3,49,291.04597,37.37907
6177,5,49,291.52193,38.12920
6177,6,49,291.76365,38.50375
6177,4,50,291.45192,37.68720
6177,5,50,291.69170,38.06163
6177,6,50,291.93405,38.43584
6177,5,53,292.19913,37.85749
6177,3,54,291.88546,37.04222
6177,3,55,292.05245,36.97414
6177,5,55,292.53586,37.72021
6177,5,56,292.70376,37.65122
6177,6,56,292.94978,38.02339
6177,6,58,293.28584,37.88403
5416,6,146,282.83782,41.57007
5403,5,149,283.11475,40.81281
5416,5,151,283.55830,40.90458
5416,5,152,283.74206,40.84886
5403,4,153,283.64284,40.20178
5416,3,153,283.51436,40.01422
5416,3,154,283.69575,39.95857
5416,4,155,284.08303,40.29157
5416,5,155,284.29150,40.68000
5416,3,156,284.05766,39.84643
5416,6,157,284.86898,40.95368
5416,5,159,285.01976,40.45088
5403,2,161,284.67103,38.97264
5416,3,161,284.95722,39.56118
5403,2,162,284.84878,38.91520
5403,4,164,285.62614,39.57206
5416,2,164,285.28224,39.00047
5416,4,165,285.88602,39.71369
5403,6,167,286.59793,40.16372
5416,2,167,285.81330,38.82452
5416,3,167,286.02684,39.20979
5416,6,167,286.68241,40.36369
5403,1,168,285.69813,38.17907
5403,3,168,286.12247,38.94995
5416,4,170,286.77607,39.41449
5403,2,172,286.61029,38.32592
5403,1,174,286.74341,37.82102
5403,4,175,287.57288,38.90932
5403,3,178,287.87400,38.34146
5403,4,178,288.09742,38.72303
5403,5,187,289.88670,38.52829
5403,5,188,290.05888,38.46306
5403,5,189,290.23075,38.39757
5403,4,191,290.33878,37.88923
5403,5,191,290.57356,38.26587
5403,6,191,290.81089,38.64232
5403,6,192,290.98249,38.57576
5403,4,194,290.84871,37.69085
5403,6,194,291.32474,38.44191
5403,6,195,291.49539,38.37462
5403,5,197,291.59456,37.86491
5403,2,198,291.05295,36.67287
5403,4,200,291.86039,37.28758
5403,5,200,292.10090,37.66119
5403,6,200,292.34396,38.03458
