Run,Camcol,Field,RA,Dec
6177,3,25,286.91158,38.91015
6177,5,25,287.35394,39.67638
4127,4,27,299.79064,40.89677
6177,3,27,287.26275,38.78819
6177,1,28,287.00074,37.96078
6177,2,28,287.21819,38.34415
6177,2,29,287.39228,38.28284
6177,6,31,288.64225,39.68402
6177,6,32,288.81837,39.62060
6177,6,37,289.69417,39.29963
6177,4,40,289.74682,38.34858
6177,4,41,289.91871,38.28354
6177,6,42,290.56202,38.97234
6177,4,43,290.26157,38.15274
6177,3,44,290.19897,37.70991
6177,5,44,290.66844,38.46342
6177,6,45,291.07891,38.77298
6177,6,46,291.25057,38.70604
6177,4,47,290.94361,37.88818
6177,6,48,291.59294,38.57142
6177,5,49,291.52193,38.12920
6177,2,50,290.97960,36.93682
6177,4,50,291.45192,37.68720
6177,5,51,291.86115,37.99382
6177,3,54,291.88546,37.04222
6177,5,56,292.70376,37.65122
6177,6,56,292.94978,38.02339
5403,5,147,282.74606,40.92198
5403,6,147,282.94880,41.31303
5416,5,149,283.18986,41.01515
5416,4,152,283.53622,40.45947
5416,5,152,283.74206,40.84886
5403,4,153,283.64284,40.20178
5403,6,155,284.42342,40.86685
5416,5,155,284.29150,40.68000
5416,3,156,284.05766,39.84643
5416,4,163,285.52785,39.83148
5403,3,165,285.59119,39.12732
5416,2,165,285.45955,38.94209
5416,3,167,286.02684,39.20979
5403,3,168,286.12247,38.94995
5416,1,168,285.77764,38.37969
5416,4,169,286.59867,39.47487
5403,1,170,286.04770,38.06078
5403,2,171,286.43545,38.38606
5416,4,171,286.95316,39.35384
5403,1,173,286.56991,37.88135
5403,1,175,286.91661,37.76043
5416,4,177,288.00927,38.98441
5403,3,178,287.87400,38.34146
5403,6,183,289.42677,39.16588
5403,5,187,289.88670,38.52829
5403,5,188,290.05888,38.46306
5403,6,190,290.63898,38.70864
5403,4,191,290.33878,37.88923
5403,6,191,290.81089,38.64232
5403,6,192,290.98249,38.57576
5403,4,194,290.84871,37.69085
5403,6,195,291.49539,38.37462
5403,3,196,290.95142,37.18183
5403,6,196,291.66573,38.30709
5403,5,197,291.59456,37.86491
5403,2,198,291.05295,36.67287
5403,4,198,291.52437,37.42296
5403,5,198,291.76365,37.79724
5403,5,199,291.93243,37.72933
5403,4,200,291.86039,37.28758
5403,6,200,292.34396,38.03458
5403,4,201,292.02794,37.21954
5403,4,202,292.19519,37.15126
5403,6,202,292.68120,37.89690
