Run,Camcol,Field,RA,Dec
6177,1,22,285.95460,38.32116
6177,3,25,286.91158,38.91015
6177,3,28,287.43788,38.72681
6177,1,29,287.17408,37.89979
6177,6,31,288.64225,39.68402
6177,6,33,288.99417,39.55692
6177,6,37,289.69417,39.29963
6177,4,40,289.74682,38.34858
6177,5,41,290.15261,38.66102
6177,3,44,290.19897,37.70991
6177,5,44,290.66844,38.46342
6177,3,45,290.36897,37.64423
6177,5,45,290.83977,38.39706
6177,6,45,291.07891,38.77298
6177,5,46,291.01077,38.33046
6177,3,47,290.70807,37.51214
6177,6,47,291.42191,38.63885
6177,4,48,291.11335,37.82142
6177,5,48,291.35186,38.19653
6177,6,48,291.59294,38.57142
6177,6,49,291.76365,38.50375
6177,4,50,291.45192,37.68720
6177,5,50,291.69170,38.06163
6177,6,50,291.93405,38.43584
6177,2,51,291.14716,36.87002
6177,5,51,291.86115,37.99382
6177,2,52,291.31444,36.80299
6177,6,52,292.27389,38.29930
6177,3,53,291.71816,37.11006
6177,4,53,291.95749,37.48408
6177,4,54,292.12540,37.41590
6177,5,56,292.70376,37.65122
6177,6,56,292.94978,38.02339
6177,5,57,292.87136,37.58200
6177,6,57,293.11797,37.95382
6177,6,58,293.28584,37.88403
5416,6,151,283.76577,41.29421
5416,3,155,283.87686,39.90264
5416,2,160,284.57005,39.23125
5416,2,161,284.74854,39.17397
5416,2,164,285.28224,39.00047
5416,3,165,285.67150,39.32801
5416,4,165,285.88602,39.71369
5416,3,167,286.02684,39.20979
5416,5,169,286.81870,39.85871
5416,6,169,287.04129,40.24240
5416,3,170,286.55759,39.03044
5416,3,171,286.73391,38.97013
5416,4,173,287.30643,39.23175
5416,4,175,287.65846,39.10860
5416,4,176,287.83402,39.04663
5416,4,178,288.18421,38.92192
5403,4,150,283.09564,40.36761
5403,4,151,283.27834,40.31262
5403,4,152,283.46074,40.25734
5403,3,162,285.05725,39.30224
5403,2,171,286.43545,38.38606
5403,4,171,286.86923,39.15405
5403,4,172,287.04560,39.09327
5403,1,175,286.91661,37.76043
5403,4,176,287.74803,38.84748
5403,2,177,287.48007,38.02133
5403,3,177,287.70019,38.40349
5403,4,179,288.27166,38.66041
5403,6,183,289.42677,39.16588
5403,5,188,290.05888,38.46306
5403,5,189,290.23075,38.39757
5403,6,189,290.46675,38.77470
5403,5,190,290.40231,38.33185
5403,6,191,290.81089,38.64232
5403,6,192,290.98249,38.57576
5403,5,193,290.91513,38.13319
5403,3,194,290.61427,37.31462
5403,4,194,290.84871,37.69085
5403,3,195,290.78299,37.24835
5403,5,195,291.25546,37.99953
5403,5,196,291.42517,37.93234
5403,6,196,291.66573,38.30709
5403,3,197,291.11955,37.11507
5403,2,198,291.05295,36.67287
5403,3,198,291.28738,37.04808
5403,2,199,291.21986,36.60597
5403,3,199,291.45492,36.98084
5403,4,199,291.69253,37.35539
5403,5,199,291.93243,37.72933
5403,6,200,292.34396,38.03458
5403,5,201,292.26907,37.59281
5403,4,202,292.19519,37.15126
5403,5,202,292.43693,37.52419
