Run,Camcol,Field,RA,Dec
6177,1,23,286.12968,38.26176
6177,2,23,286.34332,38.64676
6177,4,25,287.13159,39.29354
6177,2,31,287.73956,38.15944
6177,6,32,288.81837,39.62060
6177,6,36,289.51965,39.36433
6177,4,41,289.91871,38.28354
6177,5,43,290.49681,38.52953
6177,6,43,290.73463,38.90613
6177,4,44,290.43254,38.08697
6177,5,44,290.66844,38.46342
6177,3,45,290.36897,37.64423
6177,5,48,291.35186,38.19653
6177,5,50,291.69170,38.06163
6177,4,51,291.62075,37.61974
6177,4,52,291.78927,37.55202
6177,6,52,292.27389,38.29930
6177,5,53,292.19913,37.85749
6177,5,55,292.53586,37.72021
6177,4,56,292.46030,37.27883
5403,5,148,282.93055,40.86754
5403,6,148,283.13421,41.25827
5403,6,152,283.87276,41.03633
5416,3,152,283.33266,40.06958
5416,6,152,283.95042,41.23817
5416,3,153,283.51436,40.01422
5416,6,153,284.13476,41.18184
5416,5,154,284.10866,40.73657
5403,6,155,284.42342,40.86685
5416,3,155,283.87686,39.90264
5416,5,155,284.29150,40.68000
5416,6,156,284.68589,41.01114
5416,6,158,285.05174,40.89593
5403,5,159,284.93995,40.24975
5416,2,160,284.57005,39.23125
5403,3,161,284.87867,39.36000
5403,4,163,285.44735,39.63069
5416,2,165,285.45955,38.94209
5416,4,166,286.06464,39.65439
5403,3,167,285.94567,39.00934
5403,1,169,285.87306,38.12006
5403,4,169,286.51558,39.27483
5416,4,169,286.59867,39.47487
5403,1,170,286.04770,38.06078
5403,1,171,286.22206,38.00124
5403,2,172,286.61029,38.32592
5403,5,172,287.26684,39.47627
5403,1,173,286.56991,37.88135
5403,2,173,286.78483,38.26553
5416,4,173,287.30643,39.23175
5416,4,174,287.48260,39.17031
5403,4,175,287.57288,38.90932
5403,5,175,287.79639,39.29133
5403,5,176,287.97229,39.22916
5403,6,183,289.42677,39.16588
5403,6,184,289.60089,39.10131
5403,5,188,290.05888,38.46306
5403,4,192,290.50906,37.82334
5403,5,192,290.74450,38.19965
5403,6,195,291.49539,38.37462
5403,6,198,292.00547,38.17131
5403,6,203,292.84935,37.82771
